question,Subject,answer1,answer2,answer3,answer4,Correct_answer
Какую внешнюю политику называют дипломатией канонерок?,Разное,Открытого насилия,Консервативную,Выжидательную,Дружественную,Открытого насилия
"Как называется коллекционирование музыкальных, литературных и других звукозаписей? ",Разное,Филофония,Филокартия,Филумения,Филателия,Филофония
Чьим спутником является Харон?,Наука,Плутона,Нептуна,Юпитера,Урана,Плутона
В каком из этих фильмов две главные роли сыграли Л. Касаткина и П. Кадочников?,Фильмы,"""Медовый месяц""","""Укрощение строптивой"""," ""Вызываем огонь на себя"""," ""Мать Мария""","""Медовый месяц"""
"В какую часть ""Божественной комедии"" Данте поместил Адама? ",Литература,"""Рай""","""Ад"""," ""Чистилище""",Он не писал о нем,"""Рай"""
Чему равен один британский фут?,Разное,30.48 см,30.50 см,30.52 см,30.43 см,30.48 см
"Какая самая высокая гора на Урале, если считать до начала разработки некоторых из них? ",География,Народная,Благодать,Магнитная,Ямантау,Народная
Кто был вторым космонавтом?,История,Титов,Гагарин,Терешкова,Армстронг,Титов
Кто такая золовка?,Разное,Сестра мужа,Сестра жены,Жена брата,Дочь крестной,Сестра мужа
К каким обезьянам относился Пират. сыгравший в фильме «Полосатый рейс»?,Фильмы,Шимпанзе,Мартышки,Макаки,Павианы,Шимпанзе
Кто из конкистадоров покорил империю инков?,История,Франсиско Писарро,Васко Нуньес де Бальбоа,Эрнан Кортес,Франсиско де Орельяна,Франсиско Писарро
Какую продукцию долгое время единственный в стране выпускал Сясьский комбинат в Ленинградской области?,Разное,Туалетную бумагу,Спички,Клей,Телевизоры,Туалетную бумагу
Назовите основную денежную единицу Венгрии?,Разное,Форинт,Лев,Фартинг,Толар,Форинт
Назовите природную среду обитания страуса эму,Природа и животный мир,Австралия,Африка,Южная Америка,Индонезия,Австралия
Кого или что Леонид Семаков в своей песне назвал зеленогорбыми верблюдами?,Искусство,туристов,черепах,волны,холмы,туристов
Что изучает колеоптеролог?,Природа и животный мир,Жуков,Ископаемых птиц,Змей,Червей,Жуков
"Кем, согласно древнегреческой мифологии, Электра приходилась Оресту? ",История,Сестра,Мать,Дочь,Жена,Сестра
Как называются денежные купюры Армении?,Разное,драмы,комедии,трагедии,фарсы,драмы
Что на Руси называли ветрилом?,История,Парус,Киль,Палубу,Борт,Парус
Облик каких животных принимают отражения лебедей на картине Сальвадора Дали?,Искусство,слонов,жирафов,пингвинов,страусов,слонов
Какая единица в системе СИ носит имя изобретателя Николы Тесла?,Наука,Магнитной индукции,Электрической проводимости,Радиоактивности,Напряжения,Магнитной индукции
Гибрид каких злаков называется ТРИТИКАЛЕ?,Природа и животный мир,Рожь и пшеница,Овес и рис,Просо и ячмень,Пшеница и ячмень,Рожь и пшеница
Сколько опер написано Бетховеном?,Искусство,1 (Фиделио),2,3,4,1 (Фиделио)
"Что в царской России, кроме обычного инвентаря, входило в экипировку дворника? ",История,Свисток,Револьвер,Сабля,Жезл,Свисток
Из какой пьесы Чехова Фаина Раневская взяла свой псевдоним?,Литература,"""Вишневый сад""","""Три сестры"""," ""Свадьба"""," ""Чайка""","""Вишневый сад"""
"От названия какой части ноги произошло английское слово ""футбол""? ",Спорт,ступня,голень,колено,бедро,ступня
Каким было полное имя набоковской Лолиты?,Литература,Долорес,Лора,Лаура,Элоиза,Долорес
В какой стране в Средние века был впервые получен этиловый спирт?,История,Италия,Россия,Германия,Франция,Италия
Как назывался город Алма-Ата до 1921 г.?,История,Верный,Гордый,Крепкий,Твердый,Верный
"Во время какого крестьянского восстания происходит действие пушкинской ""Капитанской дочки""? ",Литература,Емельяна Пугачева,Нестора Махно,Степана Разина,Ивана Болотникова,Емельяна Пугачева
"На пьедестале чьего памятника высечены слова: ""Остановивший Солнце, сдвинувший Землю""? ",Разное,Николай Коперник,Галилео Галилей,Джордано Бруно,Клавдий Птолемей,Николай Коперник
Что означает название месяца октябрь?,Разное,восьмой,жёлтый,дождливый,десятый,восьмой
Какой стиль изложения по-книжному называется лапидарным?,Литература,"Краткий, четкий, ясный",Замысловатый,цветистый,Наукообразный,"Краткий, четкий, ясный"
Какое море называют дамским?,География,Саргассово,Адриатическое,Мраморное,Тасманово,Саргассово
"Какой английский футбольный клуб называют ""дачниками""? ",Спорт,Фулхэм,Эвертон,Астон Вилла,Болтон,Фулхэм
Назовите старшую из великих княжон - дочерей Николая II,История,Ольга,Анастасия,Мария,Татьяна,Ольга
С кем сравнивает себя находящийся в постоянных хлопотах человек?,Разное,С белкой в колесе,С пауком в банке,С белкой в колесе,С птицей в клетке,С белкой в колесе
Сколько струн у контрабаса?,Искусство,4,3,5,6,4
"Назовите имя учёного монаха, который первым предложил в 525 г. вести начало счёта годов от рождества Христова. ",История,Дионисий,Гимелий,Парфений,Климентий,Дионисий
"Кто написал сказку ""Спящая царевна""? ",Литература,В. А. Жуковский,И. А. Крылов,М. В. Ломоносов,А. П. Чехов,В. А. Жуковский
Какое море соединяется с Мраморным проливом Босфор?,География,Черное,Адриатическое,Эгейское,Средиземное,Черное
Среди какого народа долго жил Миклухо-Маклай?,История,Папуасы,Маори,Алеуты,Самоанцы,Папуасы
"Как звали Чацкого из ""Горе от ума""? ",Литература,Александр Андреевич,Алексей Андреевич,Александр Сергеевич,Андрей Александрович,Александр Андреевич
В каком городе находится мечеть с самым высоким в мире минаретом?,География,Касабланка,Стамбул,Мекка,Джакарта,Касабланка
"Какой советский космический корабль в 1975 году пристыковался к американскому ""Аполлону""? ",История,"""Союз-19""","""Восток-6"""," ""Восход-2"""," ""Прогресс-8""","""Союз-19"""
В какой стране расположен город Антверпен?,География,Бельгия,Нидерланды,Дания,Германия,Бельгия
Чем скрепляются между собой различные металлические элементы Эйфелевой башни?,Разное,заклёпками,болтами,сварными швами,шурупами-саморезами,заклёпками
Что в 1966 году открыли Советские ученые в Антарктике на глубине трех километров?,Наука,Пресное озеро,Затонувший корабль,Огромный метеорит,Залежи урана,Пресное озеро
"В каком году было т. н. Кровавое воскресенье в Лондондерри, Сев. Ирландия? ",История,1972,1969,1976,1974,1972
Сколько мест в стандартном российском плацкартном вагоне?,Разное,54,48,52,56,54
"Какой плод на латыни называется ""армянской сливой""? ",Природа и животный мир,абрикос,алыча,персик,айва,абрикос
Сколько длилась дней Великая Отечественная Война?,История,1418,1520,1456,1475,1418
Раньше в примитивных светильниках использовалось деревянное масло. Что это за масло?,Разное,Оливковое,Подсолнечное,Льняное,Рыбий жир,Оливковое
В какой стране в 1960 году Сиримаво Бандаранаике стала первой женщиной премьер-министром?,История,Шри-Ланка,Малайзия,Тайланд,Пакистан,Шри-Ланка
"Полуостров, разделяющий моря Карское и Лаптевых. ",География,Таймыр,Атолл,Новая Земля,Сахалин,Таймыр
"Сколько попыток в самом начале игры даётся игроку в боулинг, чтобы сбить 10 кеглей? ",Спорт,Две,Одна,Три,Четыре,Две
Укажите годы жизни М. Мусоргского?,Искусство,1839-1881,1891-1953,1840-1893,1792-1856,1839-1881
Какой хореограф более 30 лет сотрудничал с композитором Игорем Стравинским?,Искусство,Джордж Баланчин,Майа Плисецкая,Михаил Барышников,Марта Грэм,Джордж Баланчин
"Какой из легковых автомобилей, производившихся в бывших соц. странах, был фактически советской ""Победой""? ",Разное,"""Варшава""","""Дачиа"""," ""Застава"""," ""Трабант""","""Варшава"""
Как зовут главных героев повести ''Ночевала тучка золотая'' А.Приставкина?,Литература,Саша и Коля,Саша и Петя,Саша и Вася,Саша и Ваня,Саша и Коля
Чьими снами интересовались поэт Михаил Матусовский и композитор Владимир Шаинский в совместной песне?,Искусство,Крейсера «Аврора»,Медного всадника,Исаакиевского собора,Ростральной колонны,Крейсера «Аврора»
"В чьи обязанности вxодит указывать крановщику, как поднимать и куда доставлять груз? ",Разное,Такелажник,Кровельщик,Каменщик,Плановик,Такелажник
Кто от имени советского Верховного Главнокомандования принял капитуляцию фашистской Германии?,История,Жуков,Рокосовский,Конев,Молотов,Жуков
В каком городе происходит действие фильма «Асса»?,Фильмы,Ялта,Алушта,Сочи,Кисловодск,Ялта
Действие какой из новелл Проспера Мериме протекает на Корсике?,Литература,"""Маттео Фальконе""","""Таманго"""," ""Партия в триктрак"""," ""Этрусская ваза""","""Маттео Фальконе"""
Как в СССР называлась одна из разновидностей лотереи?,Разное,"""Спринт""","""Старт"""," ""Кросс"""," ""Ринг""","""Спринт"""
"Кто написал поэму ""Ода к радости""? ",Литература,Фридрих Шиллер,Мартин Лютер,Иоганн Вольфганг фон Гёте,Генрих Гейне,Фридрих Шиллер
Информацию о чём содержит в себе древнеегипетский папирус Ринда?,История,Математика,Политика,Религия,Любовь,Математика
Как зовут самую знаменитую героиню детской писательницы Памелы Трэверс?,Литература,Мэри Поппинс,Пеппи Длинный чулок,Тутта Карлссон,Гермиона Грейнджер,Мэри Поппинс
В каком чине был выпущен из лицея Александр Пушкин?,Литература,Коллежский секретарь,Надворный советник,Коллежский регистратор,Титулярный советник,Коллежский секретарь
"""Фирменным"" спектаклем какого театра является ""Принцесса Турандот""? ",Искусство,Имени Вахтангова,"""Ленком""",Сатиры,БДТ,Имени Вахтангова
Что поручено охранять сотне стражников швейцарской гвардии?,История,папу и Ватикан,штаб-квартиру ООН,Букингемский дворец,Белый дом в Вашингтоне,папу и Ватикан
"Автор романа ""Триумфальная арка""?",Литература,Ремарк,Дюма,Пикуль,Конан Дойль,Ремарк
Какой советский маршал в 1948 году стал министром национальной обороны Польши?,История,Рокоссовский,Малиновский,Жуков,Конев,Рокоссовский
"Какой из этих романов написан не кем-нибудь из сестер Бронте (Шарлоттой, Эмили или Анной)? ",Литература,Аргонавты,Шерли,Агнес Грей,Грозовой перевал,Аргонавты
Детективные произведения какого автора почти всегда связаны со скачками и скаковыми лошадьми?,Литература,Дик Фрэнсис,Джеймс Чейз,Гордон Диксон,Филипп Дик,Дик Фрэнсис
Что можно сделать с помощью постромок?,Разное,запрячь лошадь,научиться плавать,посеять что-либо,повесить картину,запрячь лошадь
С какого события начинается летоисчисление древних Греков?,История,С первой олимпиады,Троянская война,Сотворение мира,Основание Афин,С первой олимпиады
"Рыба, вьющая гнезда в заросляx водорослей. ",Природа и животный мир,Морская колюшка,Угорь,Осетр,Камбала,Морская колюшка
"Слово ""энциклопедия"" греческого происхождения. Что оно означает дословно? ",История,Обучение в полном круге,Широкий круг сведений,Детский кружок творчества,Фундамент образования,Обучение в полном круге
Древнее название этой столицы европейского государства — Виндобона.,История,Вена,Вадуц,Вильнюс,Лиссабон,Вена
"Название какого европейского города первоначально означало ""датский город""? ",История,Таллин,Данди,Дюнкерк,Гданьск,Таллин
"В песне в поётся: ""Что стоишь, качаясь, тонкая рябина, головой склоняясь до самого тына"". А что такое ""тын""? ",Разное,Забор,Задняя стена дома,Крыльцо,Сеновал,Забор
Как называлась первая династия франков?,История,Меровинги,Каролинги,Капетинги,Валуа,Меровинги
"Кого, кроме Гамлета, играл в народном театре Юрий Деточкин — герой фильма «Берегись автомобиля»? ",Фильмы,Чацкого,Хлестакова,Онегина,Отелло,Чацкого
Какой математический знак указывает на порядок действий?,Наука,Скобки,Равно,Интеграл,Модуль,Скобки
В каком городе родилась известная актриса Фаина Раневская?,Искусство,Таганрог,Москва,Одесса,Ялта,Таганрог
Сколько шашек находится на доске в начале партии в русские шашки?,Разное,24,12,36,40,24
"Какой показатель является неизменным в автогонках, с 1923 года проходящих около французского города Ла-Ман? ",Спорт,время,скорость,количество участников,расстояние,время
Здание какого вокзала Москвы спроектировал архитектор К.Тон - автор Оружейной палаты Кремля?,История,Ленинградского,Курского,Киевского,Рижского,Ленинградского
"Как звали следователя из романа Ф. М. Достоевского ""Преступление и наказание""? ",Литература,Порфирий Петрович,Перфилий Павлович,Порфирий Павлович,Перфилий Петрович,Порфирий Петрович
Кто был первым программистом?,Наука,Ада Байрон,Чарльз Беббидж,Блез Паскаль,Билл Гейтс,Ада Байрон
Какой остров самый большой по площади в мире?,География,Гренландия,Калимантан,Австралия,Сахалин,Гренландия
"Сколько кораблей вернулось, совершив первое кругосветное плаванье в экспедиции Магеллана, в Севилью? ",История,Один,Два,Три,Четыре,Один
Когда возникло первое славянское государственное образование на Балканском п-ове - Семь славянский племён?,История,7-й век,5-й век,6-й век,8-й век,7-й век
Кто из этих великих художников долго жил на Таити?,Искусство,Гоген,Сезанн,Дега,Матисс,Гоген
Как герой фильма «Белорусский вокзал» назвал свой батальон?,Фильмы,Непромокаемый,Непотопляемый,Непобедимый,Неприступный,Непромокаемый
Самая высокая гора мира?,География,Эверест,Аконкагуа,Килиманджаро,Мак-Кинли,Эверест
"Какой английский писатель придумал слово ""лилипут""? ",Литература,Джонатан Свифт,Даниель Дефо,Уильям Теккерей,Чарльз Диккенс,Джонатан Свифт
"Какую кличку носил герой Миронова из кинофильма ""Бриллиантовая рука""(по сценарию)? ",Фильмы,"Граф (Геннадий Петрович Козодоев, он же Геша)",Князь,Барон,Купец,"Граф (Геннадий Петрович Козодоев, он же Геша)"
В каком городе родился пророк Мухаммед (Магомет)?,История,Мекка,Медина,Мемфис,Дамаск,Мекка
"Что означает немецкое словосочетание ""крафт тойфель"", от которого произошло слово ""картофель""? ",Разное,Дьявольская сила,Земляная пища,Чудесный плод,Богатырский дух,Дьявольская сила
Кто из русских царей написал свод уставов по соколиной охоте?,История,Алексей Михайлович,Иван Грозный,Пётр I,Пётр III,Алексей Михайлович
Какое ремесло возрождал в России Михаил Васильевич Ломоносов?,История,Мозаику,Керамику,Литьё,Ковку,Мозаику
Как звали мать Родиона Раскольникова?,Литература,Пульхерия Александровна,Авдотья Романовна,Марфа Петровна,Лизавета Ивановна,Пульхерия Александровна
Какая из пряностей приготавливается из цветочных бутонов?,Природа и животный мир,Гвоздика,Горчица,Корица,Тмин,Гвоздика
Музыку какого композитора Андрей Тарковский использовал в фильме «Солярис»?,Фильмы,Бах,Моцарт,Бетховен,Гендель,Бах
4 пенса в старину?,История,Гроут,Фартинг,Полукрона,Шиллинг,Гроут
Что такое наргиле?,Разное,Вид кальяна,Сорт сливы,Арбузный мед,Верблюжья колючка,Вид кальяна
Какой из этих диснеевских мультфильмов был создан раньше остальных?,Фильмы,"""Белоснежка и семь гномов""","""Бемби"""," ""Золушка"""," ""Пиноккио""","""Белоснежка и семь гномов"""
Какое из этих старинных орудий имело длинный ствол и применялось для стрельбы на дальние расстояния?,История,Кулеврина,Единорог,Мортира,Пищаль,Кулеврина
Чем становятся абрикосы высушенные вместе с косточкой?,Разное,Урюком,Курагой,Кайсой,Сабзой,Урюком
Какова высота футбольных ворот?,Спорт,244 см (8 футов),200 см,264 см,190 см,244 см (8 футов)
Источником какого металла является минерал киноварь?,Наука,Ртути,Вольфрама,Железа,Меди,Ртути
"Как называют музыканта, играющего на сопилке? ",Искусство,сопилкарь,сопильник,соплист,сопилюшник,сопилкарь
Кто забил решающий мяч за сборную Франции в финале чемпионата Европы по футболу 2000 года?,Спорт,Трезеге,Зидан,Анри,Вильторд,Трезеге
"На какого популярного в начале 70-х певца сочинили эпиграмму ""Прекрасно быть певцом и со своим лицом!""? ",Искусство,Кола Бельды,Муслим Магомаев,Эдуард Хиль,Иосиф Кобзон,Кола Бельды
"Как звали одного из самых колоритных персонажей оперетты Кальмана ""Принцесса цирка""? ",Искусство,Пеликан,Баклан,Фламинго,Буревестник,Пеликан
В каком стиле работал архитектор Растрелли?,Искусство,Барокко,Готика,Классицизм,Рококо,Барокко
Какой штат наименьший по площади в США?,География,Род-Айленд,Канзас,Коннектикут,Делавэр,Род-Айленд
Когда празднуют Всемирный день здоровья?,Разное,В апреле,В январе,В августе,В ноябре,В апреле
"Кто сказал ""Государство - это я!""? ",История,Людовик XIV,Октавиан Август,Наполеон Бонапарт,Борис Березовский,Людовик XIV
В каком заповеднике в 1991 году произошло тайное подписание акта о расформировании СССР?,История,Беловежская пуща,Тебердинский,Шульган-Таш,Брянский лес,Беловежская пуща
"На основе какого напитка готовится коктейль ""Маргарита""? ",Разное,Текила,Ром,Водка,Коньяк,Текила
"Как звучит полное имя главной героини повести Тургенева ""Ася""? ",Литература,Анна,Анастасия,Александра,Ксения,Анна
"Как звучит буквальный перевод с французского юридического термина ""форс-мажор""? ",Разное,Непреодолимая сила,Внезапное событие,Изменение условий,Безвыходная ситуация,Непреодолимая сила
Как называется место для одного локомотива в железнодорожном депо?,Разное,Стойло,Гараж,Ангар,Сектор,Стойло
"Как полиграфисты называют привычную нам форму книги, пришедшую на смену древним свиткам? ",Литература,Кодекс,Суффикс,Люрекс,Журфикс,Кодекс
Как называется свод условных знаков и пояснений к карте?,География,Легенда,Абрис,Кроки,Кодекс,Легенда
В какой столице состоялся первый конкурс российских красавиц?,Разное,Париж,Петербург,Москва,Лондон,Париж
Сколько стихотворных строк в любом сонете?,Литература,14,12,16,18,14
"Какая программа Российского телевидения занесена в книгу ""Рекордов Гиннеса""? ",Фильмы,Клуб путешественников,Очевидное-невероятное,В мире животных,Что? Где? Когда?,Клуб путешественников
Как называется партизанская война в Испании и Латинской Америке?,История,Герилья,Бандерилья,Сендерилья,Гереро,Герилья
Какой актрисе Нико Пиросмани подарил миллион алых роз?,Искусство,Марго Де Севр,Марлен Дитрих,Вера Холодная,Полина Виардо,Марго Де Севр
В какой праздник немец Матиас Руст посадил свой самолет возле Красной площади?,Разное,День пограничника,День милиции,День чекиста,День авиации,День пограничника
Какое из этих слов означает также и род деревьев?,Природа и животный мир,Каркас,Балка,Арка,Остов,Каркас
Какой химический элемент обозначается Pb?,Наука,Свинец,Золото,Олово,Полоний,Свинец
Какой из этих российских придворных чинов был ниже остальных?,История,Камергер,Гофмейстер,Гофмаршал,Шталмейстер,Камергер
Кто из неуловимых мстителей выкрал стратегическую карту из кабинета полковника Кудасова?,Фильмы,Валерка,Данька,Яшка,Ксанка,Валерка
Где родилось выражение «момент истины»?,Разное,На корриде,В суде,В церкви,На дуэли,На корриде
Какая страна первая потопило судно с помощью торпеды?,История,Россия,Великобритания,Германия,Турция,Россия
"Как ботаник классифицирует растение, известное в России как Иван-да-Марья? ",Природа и животный мир,Фиалка трехцветная,Фиалка полевая,Фиалка душистая,Фиалка собачья,Фиалка трехцветная
Амплуа династии цирковых артистов Кантемировых?,Искусство,Наездники-джигиты,Иллюзионисты,Эквилибристы,Дрессировщики,Наездники-джигиты
Что является главным компонентом болотного газа?,Наука,Метан,Водород,Ацетилен,Сероводород,Метан
"Кто автор бессмертной ""Похвалы Глупости""? ",Литература,Эразм Роттердамский,Ларошфуко,Франсуа Рабле,Вольтер,Эразм Роттердамский
"Как раньше называлось парусное судно ""Крузенштерн"", которое ходит под российским флагом? ",Разное,"""Падуя""","""Пекин"""," ""Пассат"""," ""Проссейн""","""Падуя"""
"Что в старину означало слово ""браный""? ",История,Вытканный с узорами,Имеющий отношение к войне,Обработанный бороной,Богохульный,Вытканный с узорами
Какое оружие помогло зажечь олимпийский огонь на играх в Барселоне?,Спорт,лук,копьё,винтовка,пистолет,лук
Какой породы была тургеневская Муму?,Литература,Спаниель,Пудель,Болонка,Дворняжка,Спаниель
Кто автор высказывания «Любите книгу — источник знаний»?,Литература,Горький,Ленин,Маяковский,Луначарский,Горький
Где правит королевский дом Бернадотов?,История,Швеция,Монако,Англия,Норвегия,Швеция
У какого животного коренные зубы могут смениться в течение жизни 6 раз?,Природа и животный мир,Слон,Медведь,Зубр,Тигр,Слон
Чему равна 1 английская кварта?,Разное,1.136 л,0.142 л,4.546 л,0.568 л,1.136 л
Какая техника письма использовалась при написании Моны Лизы Да Винчи?,Искусство,Сфумато,Спретсатура,Сфрегаззи,Серлиано,Сфумато
Какая из богинь судьбы в греческой мифологии перерезает нить жизни?,История,Атропа,Немесида,Лахесис,Клото,Атропа
На логотипе какой из этих операционных систем изображен пингвин?,Наука,Linux,Windows,FreeBSD,Solaris,Linux
При какой температуре по Цельсию закипает вода на вершине Эвереста?,Наука,68 градусов,100 градусов,128 градусов,не кипит вообще,68 градусов
"Как назывался первый атлас всех звезд, видимых невооруженным глазом, который был издан в 1603 году Иоганном Байером? ",Наука,"""Уранометрия""","""Космотеория"""," ""Небесная сфера"""," ""Светила""","""Уранометрия"""
В каком городе находится ГРАНД ОПЕРА?,География,Париж,Вашингтон,Лондон,Милан,Париж
Чья шерсть идёт на изготовление мутоновой шубы?,Разное,Овцы,Козла,Верблюда,Собаки колли,Овцы
"Как называется крупнейший в мире алмаз, весивший 621,2 грамма? ",Природа и животный мир,Куллинан,Кох-И-Нур,Эксцельсиор,Южная Звезда,Куллинан
"Какая из этих академий имеет статус ""При правительстве РФ""? ",Разное,Народного хозяйства,Естественных наук,Славянской культуры,Театрального искусства,Народного хозяйства
Кем приходился Иоанн Безземельный Ричарду Львиное сердце?,История,Братом,Сыном,Внуком,Отцом,Братом
"Из какой басни И.А.Крылова пошло выражение:""Рыльце в пуху""? ",Литература,Лисица и сурок,Волк и лисица,Лисица и осёл,Ворона и лисица,Лисица и сурок
На борту какого корабля Наполеон сдался англичанам?,История,Беллерофон,Джей-Мария,Джустиниан,Конституция,Беллерофон
Сколько дней у православных продолжается Рождественский пост?,История,40,30,20,50,40
"Что означает слово ""цицеро""? ",Разное,Типографский шрифт,Минерал,Порода кур,Вид тайнописи,Типографский шрифт
Что такое РЕПЕТИР?,Разное,Механизм часов.,Амплуа актёра.,Режиссёр театра.,Геодезический прибор.,Механизм часов.
"Какая пометка, сделанная возле абзаца, обозначает, что на него надо обратить особое внимание? ",Разное,NB,FX,AA,PS,NB
"Какой из президентов США, подписал приказ об атомной бомбардировке городов? ",История,Трумэн,Эйзенхауэр,Кулидж,Рузвельт,Трумэн
Какое из этих озер является источником реки Миссисипи?,География,Итаска,Милле лакс,Миннетонка,Лесное озеро,Итаска
"На территории какой современной страны был убит (как говорят, мореплаватель Джеймс Кук? ",История,США,Папуа-Новая Гвинея,Австралия,Новая Зеландия,США
Какова вместимость одного из самых известных в мире зала Madison Square Garden в Нью-Йорке при проведении матчей NBA?,Спорт,19800,20500,18600,21200,19800
Какая российская теннисистка первой одержала победу на турнире Большого Шлема?,Спорт,Анастасия Мыскина,Анна Курникова,Мария Шарапова,Ольга Морозова,Анастасия Мыскина
Что коллекционирует фалерист?,Разное,Значки,Марки,Конверты,Открытки,Значки
От каких греческих слов образовано слово «гастроном»?,Разное,«желудок» и «закон»,«желудок» и «любовь»,«желудок» и «правда»,«желудок» и «вкус»,«желудок» и «закон»
"В какой из этих стран сейчас ""правит"" королева, а не король? ",География,Дания,Испания,Швеция,Норвегия,Дания
"Как называются все падежи, кроме именительного? ",Разное,Косвенные,Дополнительные,Вспомогательные,Побочные,Косвенные
Чему равна одна международная морская миля?,Разное,1852 м,1814 м,1836 м,1844 м,1852 м
Какая русская мера вместимости для сыпучих тел больше?,Разное,Четверть,Четверик,Ведро,Гарнец,Четверть
"Откуда, согласно греческой мифологии, появился на свет Пегас? ",История,Из крови горгоны Медузы,Из облака на горе Геликон,От звуков лиры Аполлона,Из вод источника Гиппокрена,Из крови горгоны Медузы
Тринадцатый чемпион мира по шахматам?,Спорт,Каспаров,Карпов,Фишер,Крамник,Каспаров
"Как называется московская площадь, на которой стоит памятник Юрию Долгорукому? ",География,Тверская площадь,Московская площадь,площадь Долгорукого,площадь Моссовета,Тверская площадь
Где расположен единственный в мире высокогорный каток под открытым небом «Медео»?,География,в Казахстане,в Туркмении,в Киргизии,в Узбекистане,в Казахстане
В каком веке христианство раскололось на православие и католицизм?,История,В 11 веке,В 10 веке,В 9 веке,В 12 веке,В 11 веке
Какой из королей в стандартной карточной колоде не имеет усов?,Разное,Корль червей,Король пик,Король треф,Король бубей,Корль червей
Назовите столицу Центральноафриканской республики,География,Банги,Яунде,Нджамена,Ниамей,Банги
"Каким учреждением числился подпольный ""веселый дом"" в ""Зойкиной квартире"" Булгакова? ",Литература,Ателье,Кафе,Аптека,Прачечная,Ателье
Какую из этих этнографических групп нельзя назвать грузинами?,География,Аварцы,Кахетины,Аджарцы,Имеритины,Аварцы
На территории какой страны были найдены останки ископаемого человека - синантропа?,История,Китай,Германия,Уганда,Египет,Китай
Какие музыкальные инструменты солируют в «Танце маленьких лебедей» из балета «Лебединое озеро»?,Искусство,Гобои,Виолончели,Кларнеты,Скрипки,Гобои
Из какой страны эмигрировали большинство героев Ремарка?,Литература,Германия,Австрия,Франция,Россия,Германия
"В каком месяце ""свеча горела на столе"" в стихотворении Бориса Пастернака? ",Литература,Февраль,Март,Январь,Декабрь,Февраль
Какой российский балетмейстер с 1985 по 1989 год руководил труппой Парижской оперы?,Искусство,Рудольф Нуриев,Михаил Барышников,Марис Лиепа,Леон Лавровский,Рудольф Нуриев
В каком регионе России находится старинный город Сарапул?,География,Удмуртия,Татарстан,Башкортостан,Оренбургская область,Удмуртия
Какой город является столицей штата Аляска?,География,Джуно,Остин,Олбани,Кингстон,Джуно
"Как звали роковую красавицу в романе Б. Акунина ""Азазель""? ",Литература,Амалия,Эмилия,Лилия,Камелия,Амалия
Что дало название единице массы карату?,Разное,Семена,Камни,Песчинки,Бусины,Семена
"Как в России называлась персидская серебряная монета в 4 абаза, ходившая на Кавказе во времена Лермонтова? ",История,Восьмигривенный,Полуполтина,Арапчик,Лобанчик,Восьмигривенный
"Кто из участников группы ""АББА"" был блондинкой? ",Искусство,Агнета,Бьёрн,Бенни,Фрида,Агнета
Что такое фьючерс?,Разное,Вид биржевого контракта,Парус на яхте,Глагол в будущем времени,Холодная закуска,Вид биржевого контракта
"В каком месяце 1945 года заканчивается действие повести ""Семнадцать мгновений весны""? ",Литература,Март (24),Февраль,Апрель,Май,Март (24)
Горсть чего бросают перед выходом на ковёр борцы сумо?,Спорт,Соли,Риса,Сои,Опилок бамбука,Соли
Какой из этих металлов не относится к группе платиновых?,Наука,Цезий,Иридий,Палладий,Рутений,Цезий
Какой калибр у пистолета Макарова?,Разное,9 мм,5.66 мм,7.62 мм,5.45 мм,9 мм
Под каким номером выступали на футбольных полях великие Пеле и Марадона?,Спорт,10,9,8,7,10
"Кто был мамой Снегурочки в поэтической ""весенней сказке"" А. Н. Островского? ",Литература,Весна,Зима,Вьюга,Луна,Весна
В какую страну Карл XII сбежал после Полтавской битвы?,История,Турция,Швеция,Дания,Франция,Турция
"Чем оказался ""мир"" в песни В.Бутусова? ",Искусство,Повестью,Сказкой,Фантастикой,Рассказом,Повестью
"Древние египтяне полагали, что у этой птицы нет мужского пола, а самки способны зачать от ветра? ",История,Коршун,Чайка,Голубь,Орел,Коршун
Как называется плотная шерстяная ткань с наклонными рубчиками?,Разное,Диагональ,Гипотенуза,Перпендикуляр,Медиана,Диагональ
Как называется один из самыx знаменитыx фильмов Альфреда Xичкока?,Фильмы,"""Псиxоз""","""Мания"""," ""Паранойя"""," ""Бред""","""Псиxоз"""
"Из какой ""оперы"" слово ШЕСТОПЕР? ",Разное,Старинное оружие,Реликтовая рыба,Вид шестерни,Ископаемая птица,Старинное оружие
К какой династии принадлежала английская королева Елизавета I?,История,Тюдоры,Виндзоры,Стюарты,Ланкастеры,Тюдоры
Какой из крупных японских городов находится на острове Хоккайдо?,География,Саппоро,Киото,Нагоя,Осака,Саппоро
"Как заканчивается признание А. С. Пушкина: ""Я пишу для себя, а печатаю... ""? ",Литература,Для денег,Для народа,Для славы,Для критиков,Для денег
Кто из этих руководителей белого движения в 1-ю мировую войну командовал Кавказской армией?,История,Юденич,Врангель,Деникин,Колчак,Юденич
В древнерусской живописи один из атрибутов архангела - тонкий жезл в его руке. Как этот жезл назывался?,Искусство,Мерило,Кондак,Орарь,Лор,Мерило
Как метил свои пули злодей из романа Майн Рида «Всадник без головы»?,Литература,К.К,Т.Т,М.М,С.С,К.К
